gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,No,Yes,19,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Mailed check,61.0,953.65,0
Female,1,No,No,5,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Electronic check,57.125,198.0,1
Female,0,Yes,No,71,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),100.875,5705.05,0
Male,0,Yes,No,8,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,93.125,609.9,1
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.6875,20.55,0
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,99.5625,79.65,1
Female,0,No,No,61,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,143.875,6993.65,0
Female,0,Yes,Yes,71,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),74.625,4122.65,0
Female,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Credit card (automatic),108.0625,5762.95,0
Male,0,No,No,46,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Credit card (automatic),42.125,1537.85,0
Male,0,No,No,33,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),100.125,2603.3,0
Female,0,Yes,Yes,53,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),130.0625,5566.4,0
Female,1,Yes,No,50,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),135.9375,5431.9,0
Female,0,No,No,57,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),51.375,2258.25,0
Female,0,Yes,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.4375,1092.35,0
Female,1,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,132.375,6401.25,0
Female,1,Yes,No,28,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),126.625,2812.2,1
Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,100.0625,80.05,1
Male,0,Yes,Yes,29,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,111.5,2698.35,1
Female,0,Yes,Yes,10,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,81.875,616.9,0
Male,0,No,Yes,43,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Electronic check,50.5625,1912.85,0
Male,1,Yes,No,13,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),88.0625,849.1,0
Female,0,Yes,No,43,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,98.5,3460.3,0
Male,0,Yes,Yes,19,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,104.5625,1465.75,1
Male,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,112.625,90.1,0
Female,0,No,No,69,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),103.0625,5555.3,0
Female,0,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.3125,1278.8,0
Male,0,Yes,No,43,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),82.8125,2907.35,0
Female,0,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.375,146.3,1
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Mailed check,64.0625,51.25,1
Male,0,Yes,No,56,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Mailed check,112.125,4952.95,0
Female,0,Yes,No,70,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),80.6875,4504.9,0
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,57.0,45.6,1
Male,0,Yes,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,117.0625,4520.15,0
Female,0,No,No,6,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),62.0625,267.35,1
Female,0,Yes,Yes,32,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Mailed check,92.0,2316.85,0
Female,1,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,137.1875,8075.35,0
Male,0,No,Yes,37,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),76.8125,2302.35,0
Female,0,Yes,No,69,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),133.0,7251.9,0
Female,0,Yes,No,26,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),102.375,2078.55,0
Female,0,Yes,Yes,58,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),131.5,6225.4,0
Male,0,No,No,24,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),68.25,1242.25,0
Male,0,Yes,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,25.6875,99.45,0
Male,0,Yes,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.0,288.05,1
Female,0,Yes,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.625,599.25,0
Female,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),82.5625,3462.1,0
Female,0,Yes,No,25,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),42.5,853.0,1
Male,1,Yes,No,10,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed check,115.625,934.1,1
Male,0,Yes,Yes,44,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),67.5625,2375.2,0
Female,0,No,No,47,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,73.625,2813.05,0
Female,0,Yes,Yes,13,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Electronic check,110.4375,1222.8,1
Female,0,Yes,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),134.9375,5293.2,1
